id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
278,The Shawshank Redemption,en,9/23/94,8.706,26840,150.307,"[18, 80]","['Drama', 'Crime']"
238,The Godfather,en,3/14/72,8.69,20373,122.973,"[18, 80]","['Drama', 'Crime']"
240,The Godfather Part II,en,12/20/74,8.575,12291,94.204,"[18, 80]","['Drama', 'Crime']"
424,Schindler's List,en,12/15/93,8.565,15695,74.615,"[18, 36, 10752]","['Drama', 'History', 'War']"
389,12 Angry Men,en,4/10/57,8.546,8522,54.678,[18],['Drama']
129,Spirited Away,ja,7/20/01,8.537,16339,108.463,"[16, 10751, 14]","['Animation', 'Family', 'Fantasy']"
19404,Dilwale Dulhania Le Jayenge,hi,10/20/95,8.5,4424,50.725,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
155,The Dark Knight,en,7/16/08,8.516,32576,148.284,"[18, 28, 80, 53]","['Drama', 'Action', 'Crime', 'Thriller']"
496243,Parasite,ko,5/30/19,8.507,18044,90.099,"[35, 53, 18]","['Comedy', 'Thriller', 'Drama']"
497,The Green Mile,en,12/10/99,8.507,17230,81.357,"[14, 18, 80]","['Fantasy', 'Drama', 'Crime']"
680,Pulp Fiction,en,9/10/94,8.488,27670,92.893,"[53, 80]","['Thriller', 'Crime']"
372058,Your Name.,ja,8/26/16,8.486,11254,78.335,"[16, 10749, 18]","['Animation', 'Romance', 'Drama']"
122,The Lord of the Rings: The Return of the King,en,12/17/03,8.48,23948,198.343,"[12, 14, 28]","['Adventure', 'Fantasy', 'Action']"
13,Forrest Gump,en,6/23/94,8.473,27182,96.712,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
667257,Impossible Things,es,6/17/21,8.5,381,22.432,"[10751, 18]","['Family', 'Drama']"
769,GoodFellas,en,9/12/90,8.462,12728,71.633,"[18, 80]","['Drama', 'Crime']"
429,"The Good, the Bad and the Ugly",it,12/22/66,8.461,8501,85.107,[37],['Western']
346,Seven Samurai,ja,4/26/54,8.461,3615,36.855,"[28, 18]","['Action', 'Drama']"
12477,Grave of the Fireflies,ja,4/16/88,8.458,5424,0.11,"[16, 18, 10752]","['Animation', 'Drama', 'War']"
11216,Cinema Paradiso,it,11/17/88,8.4,4316,35.427,"[18, 10749]","['Drama', 'Romance']"
637,Life Is Beautiful,it,12/20/97,8.4,12921,50.983,"[35, 18]","['Comedy', 'Drama']"
1084736,The Count of Monte-Cristo,fr,6/28/24,8.4,553,84.329,"[12, 36, 28, 18, 10749, 53]","['Adventure', 'History', 'Action', 'Drama', 'Romance', 'Thriller']"
157336,Interstellar,en,11/5/14,8.4,35213,202.763,"[12, 18, 878]","['Adventure', 'Drama', 'Science Fiction']"
550,Fight Club,en,10/15/99,8.4,29128,68.683,[18],['Drama']
539,Psycho,en,6/22/60,8.4,9939,38.909,"[27, 53, 9648]","['Horror', 'Thriller', 'Mystery']"
598,City of God,pt,8/30/02,8.426,7287,64.012,"[18, 80]","['Drama', 'Crime']"
510,One Flew Over the Cuckoo's Nest,en,11/19/75,8.417,10316,41.746,[18],['Drama']
696374,Gabriel's Inferno,en,5/29/20,8.415,2407,17.771,"[10749, 18]","['Romance', 'Drama']"
120,The Lord of the Rings: The Fellowship of the Ring,en,12/18/01,8.415,24880,188.202,"[12, 14, 28]","['Adventure', 'Fantasy', 'Action']"
311,Once Upon a Time in America,en,5/23/84,8.413,5311,34.06,"[18, 80]","['Drama', 'Crime']"
372754,Dou kyu sei – Classmates,ja,2/20/16,8.4,375,11.314,"[10749, 16]","['Romance', 'Animation']"
4935,Howl's Moving Castle,ja,9/9/04,8.402,9752,82.458,"[14, 16, 12]","['Fantasy', 'Animation', 'Adventure']"
324857,Spider-Man: Into the Spider-Verse,en,12/6/18,8.401,15430,89.66,"[16, 28, 12, 878]","['Animation', 'Action', 'Adventure', 'Science Fiction']"
40096,A Dog's Will,pt,9/15/00,8.4,1084,13.41,"[35, 18, 14]","['Comedy', 'Drama', 'Fantasy']"
121,The Lord of the Rings: The Two Towers,en,12/18/02,8.4,21616,140.267,"[12, 14, 28]","['Adventure', 'Fantasy', 'Action']"
14537,Harakiri,ja,9/15/62,8.396,971,20.064,"[28, 18, 36]","['Action', 'Drama', 'History']"
704264,Primal: Tales of Savagery,en,11/21/19,8.395,311,14.896,"[28, 12, 16, 18]","['Action', 'Adventure', 'Animation', 'Drama']"
724089,Gabriel's Inferno: Part II,en,7/31/20,8.393,1510,10.338,"[10749, 18]","['Romance', 'Drama']"
1891,The Empire Strikes Back,en,5/20/80,8.4,16787,50.678,"[12, 28, 878]","['Adventure', 'Action', 'Science Fiction']"
255709,Hope,ko,10/2/13,8.39,721,21.031,[18],['Drama']
1058694,Radical,es,10/19/23,8.389,402,35.492,[18],['Drama']
1160164,TAYLOR SWIFT | THE ERAS TOUR,en,10/13/23,8.4,381,37.855,[10402],['Music']
761053,Gabriel's Inferno: Part III,en,11/19/20,8.4,1049,23.886,"[10749, 18]","['Romance', 'Drama']"
423,The Pianist,en,9/17/02,8.382,9066,39.156,"[18, 10752]","['Drama', 'War']"
378064,A Silent Voice: The Movie,ja,9/17/16,8.381,3912,52.775,"[16, 18]","['Animation', 'Drama']"
244786,Whiplash,en,10/10/14,8.4,14933,62.499,"[18, 10402]","['Drama', 'Music']"
807,Se7en,en,9/22/95,8.375,20787,78.044,"[80, 9648, 53]","['Crime', 'Mystery', 'Thriller']"
27205,Inception,en,7/15/10,8.368,36306,90.617,"[28, 878, 12]","['Action', 'Science Fiction', 'Adventure']"
620249,The Legend of Hei,zh,8/27/19,8.36,356,13.311,"[16, 14, 28]","['Animation', 'Fantasy', 'Action']"
569094,Spider-Man: Across the Spider-Verse,en,5/31/23,8.358,6793,233.974,"[16, 28, 12, 878]","['Animation', 'Action', 'Adventure', 'Science Fiction']"
567,Rear Window,en,8/1/54,8.4,6393,28.316,"[53, 9648]","['Thriller', 'Mystery']"
568332,Taylor Swift: Reputation Stadium Tour,en,12/31/18,8.351,376,18.344,[10402],['Music']
274,The Silence of the Lambs,en,2/14/91,8.3,16095,16.092,"[80, 18, 53]","['Crime', 'Drama', 'Thriller']"
73,American History X,en,7/1/98,8.345,11436,28.13,[18],['Drama']
128,Princess Mononoke,ja,7/12/97,8.336,7901,46.28,"[12, 14, 16]","['Adventure', 'Fantasy', 'Animation']"
12493,High and Low,ja,3/1/63,8.3,881,17.732,"[18, 80, 9648]","['Drama', 'Crime', 'Mystery']"
1139087,Once Upon a Studio,en,9/24/23,8.332,346,40.728,"[16, 10751, 14, 35]","['Animation', 'Family', 'Fantasy', 'Comedy']"
820067,The Quintessential Quintuplets Movie,ja,5/20/22,8.3,377,33.221,"[16, 35, 10749]","['Animation', 'Comedy', 'Romance']"
